question,answer,options.A,options.B,options.C,options.D,meta_info,answer_idx,metamap_phrases
"A 55-year-old man comes to the physician because of a 6-week history of tingling pain in the sole of his right foot when he raises it above chest level during exercises. He reports that he started exercising regularly 2 months ago and that his right calf cramps when he uses the incline feature on the treadmill, forcing him to take frequent breaks. The pain completely disappears after resting for a few minutes. He has an 8-year history of type 2 diabetes mellitus. He has smoked two packs of cigarettes daily for 34 years. His only medication is metformin. His pulse is 82/min, and blood pressure is 170/92 mm Hg. Straight leg raise test elicits pallor and tingling pain in the right foot. There is no pain in the back. His muscle strength is normal. Femoral pulses are palpable; right pedal pulses are absent. Which of the following is the most likely diagnosis?",Femoropopliteal artery stenosis,Femoropopliteal artery stenosis,Acute thrombosis of right popliteal vein,Lumbar spinal stenosis,"Aortoiliac artery stenosis
""",step2&3,A,"[""55 year old man"",""physician"",""week history"",""tingling pain"",""sole of"",""right foot"",""chest level"",""exercises"",""reports"",""started exercising"",""months"",""right"",""uses"",""feature"",""treadmill"",""forcing"",""to take frequent breaks"",""pain completely"",""resting"",""minutes"",""year history of type 2 diabetes mellitus"",""smoked two packs"",""cigarettes daily"",""years"",""only medication"",""metformin"",""pulse"",""min"",""blood pressure"",""mm Hg"",""Straight leg raise test elicits pallor"",""tingling pain in"",""right foot"",""pain in"",""back"",""muscle strength"",""normal"",""Femoral pulses"",""palpable"",""right pedal pulses"",""absent"",""following"",""most likely diagnosis""]"
"A 29-year-old primigravid woman at 35 weeks' gestation is admitted to the hospital in labor. She has no history of serious medical illness. She has had an uncomplicated pregnancy. Her last ultrasound at 22 weeks' gestation was normal. On admission, fetal heartbeats cannot be detected by fetal doppler monitor. Ultrasound shows decreased amniotic fluid levels and no evidence of fetal movement, respiration, or heart activity. The patient gives birth to a 2296 g (5 lb 1 oz) male infant. Physical examination shows no signs of life. There are no visible malformations. The placenta is unremarkable. Which of the following is the most appropriate next step in management?",Recommend autopsy of the infant,Perform karyotyping of amniotic fluid,Recommend autopsy of the infant,"Obtain photographs, x-ray imaging, and MRI",Obtain consent for parental genetic testing,step2&3,B,"[""29 year old primigravid woman"",""35 weeks"",""gestation"",""admitted"",""hospital"",""labor"",""history of serious medical illness"",""uncomplicated pregnancy"",""last ultrasound"",""weeks"",""gestation"",""normal"",""On admission"",""fetal heartbeats"",""detected"",""fetal doppler monitor"",""Ultrasound shows decreased amniotic fluid levels"",""evidence"",""fetal movement"",""respiration"",""heart activity"",""patient gives birth"",""g"",""1 oz"",""male infant"",""Physical examination shows"",""signs"",""life"",""visible malformations"",""placenta"",""unremarkable"",""following"",""most appropriate next step"",""management""]"
"A 67-year-old man is hospitalized after several days of fever and increasing shortness of breath. Respiratory viral panel returns positive for influenza A and the patient is started on a standard five day course of oseltamivir. Despite therapy, his shortness of breath continues to worsen and his oxygen saturation decreases to the point where ICU transfer and intubation are required. Chest radiograph shows bilateral infiltrates. Clinical criteria are consistent with development of Acute Respiratory Distress Syndrome (ARDS). After several weeks of supportive therapy, the patient improves with lung function returning to near normal. Which of the following processes is involved in the regeneration of alveolar lining after damage to alveoli occurs?",Proliferation of surfactant-secreting cells,Sweeping of debris out of the alveoli by ciliated cells,Excess mucus production by goblet cells,Proliferation of surfactant-secreting cells,Proliferation of club cells,step1,C,"[""67 year old man"",""hospitalized"",""days"",""fever"",""increasing shortness of breath"",""Respiratory viral panel returns positive"",""influenza A"",""patient"",""started"",""standard five day course"",""oseltamivir"",""therapy"",""shortness of breath continues to worsen"",""oxygen saturation decreases to"",""point"",""ICU transfer"",""intubation"",""required"",""Chest radiograph shows bilateral infiltrates"",""Clinical criteria"",""consistent with development"",""Acute Respiratory Distress Syndrome"",""several weeks"",""supportive"",""patient improves"",""lung function returning"",""normal"",""following processes"",""involved"",""regeneration"",""alveolar lining"",""damage"",""alveoli occurs""]"
A 65-year-old male is treated for anal carcinoma with therapy including external beam radiation. How does radiation affect cancer cells?,Induces breaks in double-stranded DNA,Induces the formation of thymidine dimers,Induces the formation of disulfide bonds,Induces deamination of cytosine,Induces breaks in double-stranded DNA,step1,D,"[""65 year old male"",""treated"",""anal carcinoma"",""therapy including external beam radiation"",""radiation affect cancer cells""]"
"A 56-year-old man with a history of hypertension presents to his physician with progressive fatigue and new onset muscle cramps. He has had no recent changes to his medication regimen, which includes hydrochlorothiazide, lisinopril, and amlodipine. His temperature is 98.0°F (36.7°C), blood pressure is 174/111 mmHg, pulse is 70/min, respirations are 12/min, and oxygen saturation is 98% on room air. The patient's cardiopulmonary and abdominal exams are unremarkable. Laboratory values are ordered as seen below.

Serum:
Na+: 138 mEq/L
Cl-: 100 mEq/L
K+: 3.3 mEq/L
HCO3-: 33 mEq/L
BUN: 20 mg/dL
Glucose: 129 mg/dL

What is the most likely underlying etiology of this patient's hypertension?",Aldosterone excess,Aldosterone excess,Catecholamine-secreting mass,Cortisol excess,Impaired kidney perfusion,step2&3,A,"[""year old man"",""history of hypertension presents"",""physician"",""progressive fatigue"",""new onset muscle cramps"",""recent changes"",""medication regimen"",""includes hydrochlorothiazide"",""lisinopril"",""amlodipine"",""temperature"",""98"",""36"",""blood pressure"",""mmHg"",""pulse"",""70 min"",""respirations"",""min"",""oxygen saturation"",""98"",""room air"",""patient's cardiopulmonary"",""abdominal exams"",""unremarkable"",""Laboratory values"",""ordered"",""seen"",""Serum"",""Na"",""mEq/L Cl"",""100 mEq/L K"",""3.3 mEq/L HCO3"",""mEq/L"",""20 mg/dL Glucose"",""mg/dL"",""most likely underlying etiology"",""patient's hypertension""]"
A 65-year-old man comes to the physician because of a 1-week history of yellowish discoloration of his skin and generalized pruritus. Examination shows jaundice of the skin and scleral icterus. Urinalysis shows an elevated concentration of bilirubin and a low concentration of urobilinogen. Which of the following is the most likely underlying cause of these findings?,Defective hepatic bile excretion,Absent UDP-glucuronosyltransferase activity,Increased hemoglobin breakdown,Increased intestinal bilirubin reabsorption,Defective hepatic bile excretion,step1,D,"[""65 year old man"",""physician"",""of"",""1-week history"",""discoloration"",""skin"",""generalized pruritus"",""Examination shows jaundice"",""skin"",""scleral icterus"",""Urinalysis shows"",""elevated concentration"",""bilirubin"",""low concentration"",""urobilinogen"",""following"",""most likely underlying cause"",""findings""]"
"A 72-year-old woman is brought to the physician by her daughter because of a 6-month history of worsening short-term memory deficits and social withdrawal. Treatment with galantamine is initiated. Two weeks later, the patient develops vomiting, mild crampy abdominal pain, and watery, nonbloody diarrhea. Which of the following is the most appropriate pharmacotherapy?",Atropine,Bethanechol,Metoclopramide,Atropine,Oxybutynin,step1,C,"[""72 year old woman"",""brought"",""physician"",""daughter"",""month history"",""worsening short-term memory deficits"",""social withdrawal"",""Treatment"",""galantamine"",""initiated"",""Two weeks later"",""patient"",""vomiting"",""mild crampy abdominal pain"",""watery"",""diarrhea"",""following"",""most appropriate pharmacotherapy""]"
"A 61-year-old man with schizophrenia in a locked inpatient psychiatry unit was observed making an unusual smacking motion with his lips, pursing his mouth, and blinking excessively. These symptoms started slowly about 2 weeks ago and have become more pronounced, but they do not seem to bother the patient. He resides in an inpatient psychiatric facility where he has been successfully treated with haloperidol for the past several months. His physical exam and vitals are within normal limits. Which of the following accurately describes his symptoms?",Tardive dyskinesia,Tardive dyskinesia,Acute dystonia,Pseudoparkinsonism,Palsy,step2&3,A,"[""61 year old man"",""schizophrenia"",""locked inpatient psychiatry unit"",""observed making"",""unusual smacking motion"",""lips"",""mouth"",""blinking excessively"",""symptoms started slowly"",""weeks"",""more"",""not"",""to"",""patient"",""resides"",""inpatient psychiatric facility"",""treated with haloperidol"",""past"",""months"",""physical exam"",""normal limits"",""following"",""symptoms""]"
"A 17-year-old football player with no significant past medical history, social history, or family history presents to his pediatrician with itching in his groin. He says this started during summer workouts leading up to this season. He denies having any rash anywhere else on his body. The blood pressure is 123/78 mm Hg, pulse is 67/min, respiratory rate is 15/min, and temperature is 38.1°C (98.7°F). Physical examination reveals an erythematous, well-demarcated patch with peripheral scale on the left thigh, pubic region, and perineum. There is no apparent scrotal involvement with the rash. How can you confirm the suspected diagnosis?",KOH examination of lesion scrapings,KOH examination of lesion scrapings,Nikolsky's sign on physical exam,Gram stain of skin scrapings,AFB stain of skin scrapings,step2&3,A,"[""year old football"",""significant past medical history"",""social history"",""family history presents"",""pediatrician"",""itching"",""groin"",""started"",""summer"",""leading"",""season"",""denies"",""rash"",""else"",""body"",""blood pressure"",""mm Hg"",""pulse"",""67 min"",""respiratory rate"",""min"",""temperature"",""98"",""Physical examination reveals"",""erythematous"",""well"",""patch"",""peripheral scale"",""left thigh"",""pubic region"",""perineum"",""apparent scrotal involvement with"",""rash"",""confirm"",""suspected diagnosis""]"
An otherwise healthy 26-year-old man comes to the physician for medication counseling after recently being diagnosed with schizophrenia. Risperidone therapy is initiated. This patient is at increased risk for which of the following adverse effects?,Gynecomastia,Agranulocytosis,Shortened QT interval,Gynecomastia,Weight loss,step1,C,"[""healthy"",""year old man"",""physician"",""medication counseling"",""recently"",""diagnosed"",""schizophrenia"",""Risperidone therapy"",""initiated"",""patient"",""increased risk"",""following adverse effects""]"
"A 15-year-old woman presents with fever, altered mental status and a petechial rash on her lower extremities and back since yesterday evening. She also says she has been nauseous for the past 3 hours and has vomited twice. The patient mentions she has had heavy menstrual bleeding for the past few days. Her blood pressure is 95/80 mm Hg and her temperature is 40.0°C (104.0°F). On physical examination, the patient appears diaphoretic. A pelvic examination reveals a tampon in her vagina. Binding and activation of which of the following T cell receptors is responsible for this patient’s most likely condition?",Variable β-sequence of the T cell receptor,B7 receptor,Variable β-sequence of the T cell receptor,CD3,IgCAM,step1,B,"[""year old woman presents"",""fever"",""altered mental status"",""petechial rash"",""lower extremities"",""back"",""evening"",""nauseous"",""past"",""hours"",""vomited twice"",""patient"",""heavy menstrual bleeding"",""past"",""days"",""blood pressure"",""95 80 mm Hg"",""temperature"",""40"",""physical examination"",""patient appears diaphoretic"",""pelvic examination reveals"",""tampon in"",""vagina"",""Binding"",""activation"",""following T cell receptors"",""responsible"",""patients"",""likely condition""]"
"A 2-year-old boy is brought to the physician for evaluation of pallor and increasing lethargy for 2 days. One week ago, he experienced abdominal pain, vomiting, and bloody diarrhea that have since subsided. The patient's father states that they returned early from a 6-week roadtrip in Mexico because of these symptoms. His parents have been giving him oral rehydration solution. His immunizations are up-to-date. He appears pale. His temperature is 38.4°C (101.1°F), pulse is 130/min, respirations are 35/min, and blood pressure is 95/50 mm Hg. Examination shows scleral icterus. The abdomen is soft and nontender; there is no rebound or guarding. Bowel sounds are hyperactive. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 8.5 g/dL
Mean corpuscular volume 94 μm3
Leukocyte count 18,000/mm3
Platelet count 45,000/mm3
Prothrombin time 12 sec
Partial thromboplastin time 34 sec
Serum
Urea nitrogen 28 mg/dL
Creatinine 1.6 mg/dL
Bilirubin
Total 2.5 mg/dL
Direct 0.1 mg/dL
Lactate dehydrogenase 1658 U/L
A blood smear shows schistocytes. Which of the following is the most likely diagnosis?""",Hemolytic uremic syndrome,Henoch-Schönlein Purpura,Thrombotic thrombocytopenic purpura,Hemolytic uremic syndrome,Immune thrombocytopenic purpura,step2&3,C,"[""2 year old boy"",""brought"",""physician"",""evaluation"",""pallor"",""increasing lethargy"",""2"",""One"",""experienced abdominal pain"",""vomiting"",""bloody diarrhea"",""since"",""patient"",""ather  tates "",""eturned  arly "",""eek "",""exico "",""ymptoms."",""arents "",""iving "",""ral rehydration solution."",""mmunizations "",""ate."",""ppears  ale."",""emperature "",""C "",""ulse "",""in,"",""espirations "",""5/ in,"",""lood pressure "",""5/ 0  m Hg."",""xamination  hows  cleral icterus."",""bdomen "",""oft "",""ontender;"",""uarding."",""owel sounds "",""yperactive."",""xamination  hows "",""bnormalities."",""aboratory studies  how:"",""emoglobin "",""/"",""ean corpuscular volume "",""3  eukocyte  8,"",""latelet count "",""rothrombin time  2  ec  artial thromboplastin time "",""erum  rea nitrogen  8  g/"",""reatinine "",""  g/"",""otal "",""irect  .1  g/dL  actate dehydrogenase "",""/  "",""lood smear  hows  chistocytes."",""ollowing "",""ost likely  iagnosis?""]"
"A 17-year-old girl is referred by her dentist for a suspected eating disorder. She has been visiting the same dentist since childhood and for the past 2 years has had at least 2 visits for dental caries. She eventually admitted to him that she regularly induces vomiting by putting her fingers down her throat. She says she has been doing this for the last few years and purging at least once a week. More recently, she has been inducing emesis more often and even looked into diuretics as she feels that she is gaining more and more weight compared to her ‘skinny friends’. Her BMI is at the 50th percentile for her age and sex. Which of the following features is most consistent with this patient’s condition?",Patients with this disorder are not further sub-typed,Patients with this disorder are not further sub-typed,Patients do not usually initiate treatment,Patients can have a history of both anorexia and bulimia,Patients will typically have a BMI between 17–18.5 kg/m2,step2&3,A,"[""year old girl"",""referred by"",""dentist"",""suspected eating disorder"",""visiting"",""same dentist"",""childhood"",""past"",""years"",""visits"",""dental caries"",""admitted"",""induces vomiting"",""putting"",""fingers"",""throat"",""last"",""years"",""purging"",""week"",""recently"",""inducing emesis"",""often"",""looked"",""diuretics"",""feels"",""gaining more"",""more weight compared"",""friends"",""BMI"",""50th percentile"",""age"",""sex"",""following features"",""most consistent with"",""patients condition""]"
"A 14-year-old girl is brought to the physician by her father because of fever, chills, abdominal pain, and profuse non-bloody diarrhea. Her symptoms began one week ago, when she had several days of low-grade fever and constipation. She returned from Indonesia 2 weeks ago, where she spent the summer with her grandparents. Her temperature is 39.3°C (102.8°F). Examination shows diffuse abdominal tenderness and mild hepatosplenomegaly. There is a faint salmon-colored maculopapular rash on her trunk and abdomen. Which of the following is the most likely causal organism?",Salmonella typhi,Giardia lamblia,Schistosoma mansoni,Salmonella typhi,Clostridium perfringens,step1,C,"[""year old girl"",""brought"",""physician"",""father"",""fever"",""chills"",""abdominal pain"",""non bloody diarrhea"",""symptoms began one week"",""several days"",""low-grade fever"",""constipation"",""returned"",""Indonesia 2 weeks"",""spent"",""summer"",""grandparents"",""temperature"",""3C"",""Examination shows diffuse abdominal tenderness"",""mild hepatosplenomegaly"",""faint salmon colored maculopapular rash"",""trunk"",""abdomen"",""following"",""most likely causal organism""]"
"A 22-year-old female college student is treated with metronidazole after presenting to student health services with itching, discharge, and pain in her vagina. At a party shortly afterward she experiences facial flushing, nausea, tachycardia, dyspnea, headache, and abdominal cramps after consuming alcohol. Serum levels of which of the following are likely elevated in this patient following alcohol consumption:",Acetaldehyde,Acetaldehyde,Uric acid,Cytochrome P-450 enzymes,Amylase,step1,A,"[""year old female college student"",""treated with metronidazole"",""presenting"",""student health services"",""itching"",""discharge"",""pain in"",""vagina"",""party"",""experiences facial flushing"",""nausea"",""tachycardia"",""dyspnea"",""headache"",""abdominal cramps"",""alcohol"",""Serum levels"",""following"",""likely elevated"",""patient following alcohol consumption""]"
"A 23-year-old primigravida presents for a regular prenatal care visit at 16 weeks gestation. She complains of increased fatigability, but is otherwise well. She takes folic acid, iron, and vitamin D supplementation. Her vital signs are as follows: blood pressure, 110/70 mm Hg; heart rate, 86/min; respiratory rate, 13/min; and temperature, 36.6℃ (97.9℉). The physical examination is unremarkable. The complete blood count results are as below:
Erythrocyte count 3.9 million/mm3
Hb 11.1 g/dL
HCT 32%
Reticulocyte count 0.2%
MCV 90 fL
Platelet count 210,000/mm3
Leukocyte count 8,100/mm3
Which of the following tests is required to investigate the cause of the patient’s laboratory findings?",No tests required,Serum iron level,Serum B12 level,Transferrin,No tests required,step2&3,D,"[""23 year old primigravida presents"",""regular prenatal visit"",""weeks gestation"",""increased fatigability"",""well"",""takes folic acid"",""iron"",""vitamin"",""supplementation"",""vital signs"",""follows"",""blood pressure"",""70 mm Hg"",""heart rate"",""min"",""respiratory rate"",""min"",""temperature"",""36"",""97"",""physical examination"",""unremarkable"",""complete blood count results"",""Erythrocyte"",""mm3 Hb"",""g"",""HCT"",""Reticulocyte"",""0.2"",""MCV 90 fL Platelet count"",""Leukocyte"",""100"",""following tests"",""required to investigate"",""cause"",""patients laboratory findings""]"
"An 80-year-old man is transferred from a step-down unit to a med-surg floor in the hospital. He had undergone a successful hernia surgery 14 hours ago. Before the surgery, he was pre-treated with atropine, scopolamine, and morphine and recovered well in the PACU after the surgery. There were no complications in the step-down unit and the patient continued to recover. On the med-surg floor, his temperature is 36.8°C (98.2°F), the heart rate is 98/min, the respiratory rate is 15/min, the blood pressure is 100/75 mm Hg, the oxygen saturation is 90%. On physical exam, he is a well-developed, obese man. His heart has a regular rate and rhythm and his lungs are clear to auscultation bilaterally. His incision site is clean, dry, and intact with an appropriate level of swelling and erythema. During the physical, the patient mentions some discomfort in his abdomen and pelvis and during a records review it is noted that he has not passed urine in the PACU, step-down unit, or since arriving on the med-surg floor. A bladder scan is inconclusive due to body habitus. What is the next best step in the treatment of this patient?",Insert a ‘straight cath’ into the patient’s bladder,Insert a ‘straight cath’ into the patient’s bladder,Aggressive IV fluids,Digital rectal exam,Renal ultrasound,step2&3,A,"[""80 year old man"",""transferred"",""step-down unit"",""med surg floor"",""hospital"",""successful hernia surgery"",""hours"",""surgery"",""pre treated with atropine"",""scopolamine"",""morphine"",""recovered well"",""PACU"",""surgery"",""complications"",""step-down unit"",""patient continued to recover"",""med surg floor"",""temperature"",""36"",""98"",""heart rate"",""98 min"",""respiratory rate"",""min"",""blood pressure"",""100 75 mm Hg"",""oxygen saturation"",""90"",""physical exam"",""well"",""obese man"",""heart"",""regular rate"",""rhythm"",""lungs"",""clear"",""auscultation"",""incision site"",""clean"",""dry"",""intact"",""appropriate level"",""swelling"",""erythema"",""physical"",""patient"",""discomfort"",""abdomen"",""pelvis"",""records review"",""noted"",""not passed urine"",""PACU"",""step-down unit"",""since"",""med surg floor"",""bladder scan"",""inconclusive due to body"",""next best step"",""treatment"",""patient""]"
"A healthy 19-year-old man presents to his primary care provider complaining of painless “blisters” in his mouth. He reports that he noticed a white film on his tongue and the sides of his mouth 2 days ago while brushing his teeth. The film was easily brushed off. He also complains of a bitter metallic taste in his mouth but otherwise denies pain, burning, dysphagia, or hoarseness. He is otherwise healthy and takes no medications. He is a competitive swimmer and has had 8 sexual partners in the past year. He intermittently uses barrier protection. On exam, he is well-appearing and in no acute distress. His oral examination demonstrates patches of white pseudomembranes that can be wiped away to reveal erythematous mucosa. A medication with which of the following mechanisms of action is most appropriate in this patient?",Disruption of cell membrane permeability,Disruption of cell membrane permeability,Disruption of microtubule formation,Inhibition of 14-alpha-demethylase,Inhibition of beta-glucan synthase,step1,A,"[""healthy"",""year old man presents"",""primary care provider"",""painless blisters"",""mouth"",""reports"",""white film"",""tongue"",""sides"",""mouth 2 days"",""brushing"",""teeth"",""film"",""easily brushed"",""bitter metallic"",""mouth"",""denies pain"",""burning"",""dysphagia"",""hoarseness"",""healthy"",""takes"",""medications"",""competitive swimmer"",""sexual partners"",""past year"",""uses barrier protection"",""exam"",""well appearing"",""acute distress"",""oral examination demonstrates patches"",""white pseudomembranes"",""wiped"",""to reveal erythematous mucosa"",""medication"",""of"",""following mechanisms"",""action"",""most appropriate"",""patient""]"
"A 56-year-old man presents to the clinic complaining of subacute back pain for the past month. The pain is described as a dull, constant ache that is worse at night. He could not recall any precipitating event except for an amateur weight-lifting competition that he participated in 2 months ago. Past medical history is significant for non-small cell lung cancer that was diagnosed and successfully treated. A PET scan 1 year ago demonstrated no recurrence. Physical exam was unremarkable except for some point tenderness along the lumbosacral area. What is the most likely imaging finding in this patient?",Lytic lesions of the lumbar spine,Bulging disc impinging on lumbar spinal nerve,Lytic lesions of the lumbar spine,Narrowing of the lumbar disc space,Sacroilitis and fusion of the lumbar spine,step1,B,"[""year old man presents"",""clinic"",""of subacute back pain"",""past month"",""pain"",""described"",""dull"",""constant ache"",""worse"",""night"",""not recall"",""precipitating event"",""amateur weight-lifting competition"",""months"",""Past medical history"",""significant"",""non-small cell lung cancer"",""diagnosed"",""treated"",""PET scan year"",""recurrence"",""Physical exam"",""unremarkable"",""point tenderness"",""lumbosacral area"",""most likely imaging finding"",""patient""]"
A 4-year-old boy is brought to the emergency department because of severe abdominal pain and bilious vomiting for 6 hours. He has not had bowel movements in the past 24 hours. He appears ill. His temperature is 37.8°C (100°F) and pulse is 122/min. Examination shows a distended abdomen. There is tenderness to palpation in the lower abdomen; guarding and rebound tenderness are present. Bowel sounds are decreased. An x-ray of the abdomen shows dilated loops of bowel. He has been accompanied by his 14-year-old brother. The surgeon recommends an emergency laparotomy. The parents are away visiting friends and cannot be reached. Which of the following is the most appropriate next best step in management?,Perform emergency laparotomy,Get consent from the patient's brother,Get consent from the patient,Perform emergency laparotomy,Delay surgery until parental consent,step2&3,C,"[""4 year old boy"",""brought"",""emergency department"",""severe abdominal"",""bilious vomiting"",""hours"",""not"",""bowel movements"",""past 24 hours"",""appears ill"",""temperature"",""pulse"",""min"",""Examination shows"",""distended abdomen"",""tenderness"",""palpation"",""lower abdomen"",""guarding"",""rebound tenderness"",""present"",""Bowel sounds"",""decreased"",""x-ray of"",""abdomen shows dilated"",""bowel"",""year old brother"",""surgeon recommends"",""emergency laparotomy"",""parents"",""visiting friends"",""reached"",""following"",""most appropriate next best step"",""management""]"
"A 3-week-old male newborn is brought to the hospital because of poor weight gain since birth. He was born at 38 weeks' gestation via normal vaginal delivery. He weighed 3005 g (6 lb, 10 oz) at birth and currently weighs 2835 g (6 lb, 4 oz). He has been latching on and breastfeeding well since birth. His mother has a history of Graves' disease and underwent near-total thyroidectomy in the second trimester of her pregnancy after her symptoms could not be controlled with antithyroid drugs. She is currently receiving L-thyroxine therapy. The patient's temperature is 38.9°C (102°F), pulse is 176/min, and respirations are 42/min. He appears irritable. Examination shows a diaphoretic infant with a paucity of subcutaneous fat. There is swelling of the neck at the midline. Which of the following is the most likely cause?",Transplacental passage of TSH receptor antibodies,Transplacental passage of thyroid peroxidase antibodies,Transplacental passage of TSH receptor antibodies,Transplacental viral infection,Opiate use in the mother,step2&3,B,"[""3 week old male newborn"",""brought"",""hospital"",""poor weight gain"",""birth"",""born"",""weeks"",""gestation"",""normal vaginal"",""g"",""10 oz"",""birth"",""currently"",""g"",""4 oz"",""latching"",""breastfeeding well"",""birth"",""mother"",""history of Graves"",""disease"",""total thyroidectomy"",""second trimester"",""pregnancy"",""symptoms"",""not"",""controlled"",""drugs"",""currently receiving L-thyroxine therapy"",""patient's temperature"",""pulse"",""min"",""respirations"",""min"",""appears irritable"",""Examination shows"",""diaphoretic infant"",""subcutaneous fat"",""swelling of the neck"",""midline"",""following"",""most likely cause""]"
"A 57-year-old female with a past medical history of alcoholism presents to the emergency room vomiting bright red blood. She is accompanied by her partner, who reports that she had been complaining of black and tarry stools for the past several days. Vital signs are temperature 37 degrees celsius, heart rate 141 beats per minute, blood pressure 90/60, respiratory rate 20, and oxygen saturation 99% on room air. On physical examination, she has splenomegaly and a positive fluid wave. The remainder of her examination is within normal limits. The patient is stabilized with intravenous fluids, and her blood pressure improves. Subsequent emergent upper endoscopy reveals bleeding from the submucosal veins in the lower 1/3 of the esophagus, but no gastric bleed. In the endoscopy suite she also receives IV octreotide. After intervention and resolution of her acute bleed, which of the following pharmacologic agents is indicated?",Nadalol,Phentolamine,Prazosin,Nifedipine,Nadalol,step1,D,"[""57 year old female"",""past medical presents"",""emergency room vomiting bright red blood"",""partner"",""reports"",""black"",""tarry stools"",""past"",""days"",""Vital signs"",""temperature"",""degrees celsius"",""heart rate"",""beats per minute"",""blood pressure 90 60"",""respiratory rate 20"",""oxygen 99"",""room air"",""physical examination"",""splenomegaly"",""positive fluid wave"",""examination"",""normal limits"",""patient"",""stabilized"",""intravenous fluids"",""blood pressure improves"",""Subsequent emergent upper endoscopy reveals bleeding"",""submucosal veins"",""lower"",""esophagus"",""gastric bleed"",""endoscopy suite"",""receives IV octreotide"",""intervention"",""resolution"",""acute bleed"",""following pharmacologic agents"",""indicated""]"
"A 65-year-old man with a history of hypertension, obesity, and alcoholic cirrhosis is seen in clinic for follow-up. He feels well and currently drinks 5 glasses of wine each night. Medications include atenolol and lisinopril. On physical exam, temperature is 98.1 deg F (36.7 deg C), blood pressure is 151/82 mmHg, pulse is 71/min, and respirations are 14/min. He has spider angiomata on his chest; no asterixis, jaundice, ascites, or peripheral edema is noted. Screening ultrasound reveals a new liver nodule, and follow up CT demonstrates a 2 cm right hepatic lobe lesion with enhancement in the arterial phase. No hypodense attenuation is seen on the venous or delayed phase. What is the next step in management?",Proceed with liver biopsy,Proceed with liver biopsy,Refer for surgical resection,Refer for radiofrequency ablation,Observe and get follow-up imaging in 3 months,step1,A,"[""65-year-old man"",""history of hypertension"",""obesity"",""alcoholic cirrhosis"",""seen in clinic"",""follow-up"",""feels well"",""currently drinks 5 glasses"",""wine"",""night"",""Medications include atenolol"",""lisinopril"",""physical exam"",""temperature"",""98"",""deg F"",""36"",""blood pressure"",""mmHg"",""pulse"",""71 min"",""respirations"",""min"",""spider angiomata"",""chest"",""asterixis"",""jaundice"",""ascites"",""peripheral edema"",""noted"",""Screening ultrasound reveals"",""new liver nodule"",""follow up CT demonstrates"",""2 cm right hepatic lesion"",""enhancement"",""arterial phase"",""attenuation"",""seen"",""venous"",""delayed phase"",""next step"",""management""]"
"A 66-year-old man is brought to the emergency room by his wife due to abdominal distension and persistent somnolence for the past 2 weeks. The patient’s wife says that he has been sleeping much more than usual for the past 5 days. His bowel and bladder habit have not changed. His past medical history is significant for alcoholic liver cirrhosis. His vital signs include: pulse 76/min, respiratory rate 15/min, temperature 38.0°C (100.4°F) and blood pressure 122/75 mm Hg. On physical examination, the patient is altered and not responsive to commands. Oriented x 0. The abdomen is significantly distended. Shifting dullness is present and a positive fluid wave can be elicited. Hyperreflexia and asterixis are noted. Laboratory findings are significant for the following:
Laboratory test
Sodium 140 mEq/L
Potassium 3.5 mEq/L
Chloride 97 mEq/L
Glucose 90 mg/dL
Ammonia 100 µg/dL (ref: 19-60 µg/dL)
Arterial blood gas
pH 7.4
pCO2 40 mm Hg
pO2 90 mm Hg
HCO3 26 mEq/L
An abdominal ultrasound shows surface nodularity compatible with cirrhosis but no other changes aside from ascites. An upper GI endoscopy is performed which shows gastric varices with no signs of active bleeding. An MRI of the brain is insignificant. What is the most likely precipitating factor that led to this patient’s condition?",Spontaneous bacterial peritonitis,Spontaneous bacterial peritonitis,Metabolic alkalosis,Portal vein thrombosis,Hypoglycemia,step1,A,"[""66 year old man"",""brought"",""emergency room"",""wife due to abdominal distension"",""persistent somnolence"",""past 2 weeks"",""patients wife"",""sleeping much"",""usual"",""past"",""days"",""bowel"",""bladder habit"",""not changed"",""past medical history"",""significant"",""alcoholic liver cirrhosis"",""vital signs include"",""pulse 76 min"",""respiratory rate"",""min"",""temperature"",""100 4F"",""blood pressure"",""75 mm Hg"",""physical examination"",""patient"",""altered"",""not responsive"",""commands"",""Oriented"",""0"",""abdomen"",""distended"",""Shifting dullness"",""present"",""positive fluid wave"",""elicited"",""Hyperreflexia"",""asterixis"",""noted"",""Laboratory findings"",""significant"",""following"",""Laboratory"",""mEq"",""Potassium"",""Chloride"",""Glucose"",""mg dL Ammonia"",""dL"",""ref"",""60 g/dL"",""Arterial blood gas pH 7"",""pCO2"",""mm Hg pO2"",""HCO3"",""mEq/L"",""abdominal ultrasound shows surface nodularity compatible"",""cirrhosis"",""changes"",""ascites"",""upper GI endoscopy"",""performed"",""shows gastric varices"",""signs of active bleeding"",""MRI of"",""brain"",""most likely precipitating factor"",""led"",""patients condition""]"
